ts,td,pkt,byt
1458298072364000.0,100000,124,3472
1458298072464000.0,100000,0,0
1458298072564000.0,100000,0,0
1458298072664000.0,100000,0,0
1458298072764000.0,100000,0,0
1458298072864000.0,100000,0,0
1458298072964000.0,100000,124,3968
1458298073064000.0,100000,6501,565509
1458298073164000.0,100000,9008,4362440
1458298073264000.0,100000,324,18588
1458298073364000.0,100000,0,0
1458298073464000.0,100000,62,1736
1458298073564000.0,100000,124,3472
1458298073664000.0,100000,0,0
1458298073764000.0,100000,0,0
1458298073864000.0,100000,0,0
1458298073964000.0,100000,0,0
1458298074064000.0,100000,300,16664
1458298074164000.0,100000,0,0
1458298074264000.0,100000,0,0
1458298074364000.0,100000,521,78848
1458298074464000.0,100000,0,0
1458298074564000.0,100000,0,0
1458298074664000.0,100000,0,0
1458298074764000.0,100000,61,2600
1458298074864000.0,100000,0,0
1458298074964000.0,100000,154,4928
1458298075064000.0,100000,436,44930
1458298075164000.0,100000,61,2600
1458298075264000.0,100000,821,46630
1458298075364000.0,100000,0,0
1458298075464000.0,100000,0,0
1458298075564000.0,100000,0,0
1458298075664000.0,100000,0,0
1458298075764000.0,100000,0,0
1458298075864000.0,100000,0,0
1458298075964000.0,100000,186,5952
1458298076064000.0,100000,0,0
1458298076164000.0,100000,0,0
1458298076264000.0,100000,61,1708
1458298076364000.0,100000,0,0
1458298076464000.0,100000,0,0
1458298076564000.0,100000,0,0
1458298076664000.0,100000,61,1708
1458298076764000.0,100000,123,3444
1458298076864000.0,100000,0,0
1458298076964000.0,100000,0,0
1458298077064000.0,100000,0,0
1458298077164000.0,100000,0,0
1458298077264000.0,100000,0,0
1458298077364000.0,100000,0,0
1458298077464000.0,100000,0,0
1458298077564000.0,100000,0,0
1458298077664000.0,100000,0,0
1458298077764000.0,100000,40,1280
1458298077864000.0,100000,0,0
1458298077964000.0,100000,8091,9512317
1458298078064000.0,100000,0,0
1458298078164000.0,100000,0,0
1458298078264000.0,100000,0,0
1458298078364000.0,100000,0,0
1458298078464000.0,100000,0,0
1458298078564000.0,100000,0,0
1458298078664000.0,100000,0,0
1458298078764000.0,100000,0,0
1458298078864000.0,100000,31,1302
1458298078964000.0,100000,31,992
1458298079064000.0,100000,0,0
1458298079164000.0,100000,0,0
1458298079264000.0,100000,0,0
1458298079364000.0,100000,0,0
1458298079464000.0,100000,0,0
1458298079564000.0,100000,0,0
1458298079664000.0,100000,0,0
1458298079764000.0,100000,0,0
1458298079864000.0,100000,64,2692
1458298079964000.0,100000,92,2944
1458298080064000.0,100000,613,62189
1458298080164000.0,100000,0,0
1458298080264000.0,100000,0,0
1458298080364000.0,100000,0,0
1458298080464000.0,100000,0,0
1458298080564000.0,100000,0,0
1458298080664000.0,100000,0,0
1458298080764000.0,100000,31,2604
1458298080864000.0,100000,0,0
1458298080964000.0,100000,30,2430
1458298081064000.0,100000,0,0
1458298081164000.0,100000,60,3360
1458298081264000.0,100000,0,0
1458298081364000.0,100000,0,0
1458298081464000.0,100000,115,6230
1458298081564000.0,100000,76,4695
1458298081664000.0,100000,0,0
1458298081764000.0,100000,53,2120
1458298081864000.0,100000,0,0
1458298081964000.0,100000,0,0
1458298082064000.0,100000,0,0
1458298082164000.0,100000,0,0
1458298082264000.0,100000,0,0
1458298082364000.0,100000,0,0
1458298082464000.0,100000,0,0
1458298082564000.0,100000,0,0
1458298082664000.0,100000,0,0
1458298082764000.0,100000,0,0
1458298082864000.0,100000,0,0
1458298082964000.0,100000,31,992
1458298083064000.0,100000,0,0
1458298083164000.0,100000,1129,387896
1458298083264000.0,100000,0,0
1458298083364000.0,100000,0,0
1458298083464000.0,100000,0,0
1458298083564000.0,100000,0,0
1458298083664000.0,100000,0,0
1458298083764000.0,100000,0,0
1458298083864000.0,100000,417,32295
1458298083964000.0,100000,31,992
1458298084064000.0,100000,0,0
1458298084164000.0,100000,0,0
1458298084264000.0,100000,0,0
1458298084364000.0,100000,0,0
1458298084464000.0,100000,0,0
1458298084564000.0,100000,0,0
1458298084664000.0,100000,0,0
1458298084764000.0,100000,52,2080
1458298084864000.0,100000,0,0
1458298084964000.0,100000,970,75326
1458298085064000.0,100000,0,0
1458298085164000.0,100000,0,0
1458298085264000.0,100000,0,0
