ts,td,pkt,byt
1458298072364000.0,10000000,28379,14774352
1458298082364000.0,10000000,16098,2719143
1458298092364000.0,10000000,82691,29775193
1458298102364000.0,10000000,431482,227433597
1458298112364000.0,10000000,33961,3255372
1458298122364000.0,10000000,76965,23205947
1458298132364000.0,10000000,41374,9530295
1458298142364000.0,10000000,13487,1322538
1458298152364000.0,10000000,30811,7360351
1458298162364000.0,10000000,74294,34059829
1458298172364000.0,10000000,34755,9689812
1458298182364000.0,10000000,24632,3020397
1458298192364000.0,10000000,16029,1632671
1458298202364000.0,10000000,32797,7663017
1458298212364000.0,10000000,103556,37661098
1458298222364000.0,10000000,32825,3437015
1458298232364000.0,10000000,73835,84785440
1458298242364000.0,10000000,88630,61433757
1458298252364000.0,10000000,37068,5753074
1458298262364000.0,10000000,33400,20587176
1458298272364000.0,10000000,95157,38173317
1458298282364000.0,10000000,261792,299097711
1458298292364000.0,10000000,93150,45597571
1458298302364000.0,10000000,59138,15284590
1458298312364000.0,10000000,78971,11125031
1458298322364000.0,10000000,45984,32494733
1458298332364000.0,10000000,49761,28733420
1458298342364000.0,10000000,27896,6059211
1458298352364000.0,10000000,189063,233947437
1458298362364000.0,10000000,416710,286787387
1458298372364000.0,10000000,175229,83364624
1458298382364000.0,10000000,134338,56668619
1458298392364000.0,10000000,139730,41203052
1458298402364000.0,10000000,332462,83069941
1458298412364000.0,10000000,408804,292310313
1458298422364000.0,10000000,196334,57072137
1458298432364000.0,10000000,214680,108858926
1458298442364000.0,10000000,147564,73532865
1458298452364000.0,10000000,138895,69577701
1458298462364000.0,10000000,145119,73539807
1458298472364000.0,10000000,241405,145017797
1458298482364000.0,10000000,150693,52333956
1458298492364000.0,10000000,167781,87750733
1458298502364000.0,10000000,152856,88518975
1458298512364000.0,10000000,173782,61710438
1458298522364000.0,10000000,182338,82345342
1458298532364000.0,10000000,131478,58656426
1458298542364000.0,10000000,184127,102995192
1458298552364000.0,10000000,223766,123178176
1458298562364000.0,10000000,137384,55775142
1458298572364000.0,10000000,162319,84174980
1458298582364000.0,10000000,320070,322791821
1458298592364000.0,10000000,226674,125983539
1458298602364000.0,10000000,200226,89428041
1458298612364000.0,10000000,177159,131403884
1458298622364000.0,10000000,224520,125224120
1458298632364000.0,10000000,159218,27807505
1458298642364000.0,10000000,163817,39615917
1458298652364000.0,10000000,388938,104443060
1458298662364000.0,10000000,127315,44532307
1458298672364000.0,10000000,492523,375850343
1458298682364000.0,10000000,168956,104475127
1458298692364000.0,10000000,142093,75212336
1458298702364000.0,10000000,143145,61288915
1458298712364000.0,10000000,285010,70176388
1458298722364000.0,10000000,420899,276109552
1458298732364000.0,10000000,209212,140545799
1458298742364000.0,10000000,245546,135225578
1458298752364000.0,10000000,115462,36881152
1458298762364000.0,10000000,146627,63183746
1458298772364000.0,10000000,194469,67780663
1458298782364000.0,10000000,160196,79193896
1458298792364000.0,10000000,107877,27802122
1458298802364000.0,10000000,104420,39104935
1458298812364000.0,10000000,148744,62285628
1458298822364000.0,10000000,194693,61860729
1458298832364000.0,10000000,137506,38287934
1458298842364000.0,10000000,130928,57440640
1458298852364000.0,10000000,146042,73472082
1458298862364000.0,10000000,213673,111913257
1458298872364000.0,10000000,164362,83376636
1458298882364000.0,10000000,175241,108252977
1458298892364000.0,10000000,424197,402579311
1458298902364000.0,10000000,152418,57490495
1458298912364000.0,10000000,174480,74531493
1458298922364000.0,10000000,188316,88840889
1458298932364000.0,10000000,140269,39538166
1458298942364000.0,10000000,143671,55383507
1458298952364000.0,10000000,145253,50967863
1458298962364000.0,10000000,130454,67527548
1458298972364000.0,10000000,312197,245240850
1458298982364000.0,10000000,338484,220940560
1458298992364000.0,10000000,115318,33629230
1458299002364000.0,10000000,218928,120404905
1458299012364000.0,10000000,177243,80478750
1458299022364000.0,10000000,349528,111333732
1458299032364000.0,10000000,382584,278119232
1458299042364000.0,10000000,150829,35423857
1458299052364000.0,10000000,227282,74034711
1458299062364000.0,10000000,142431,73968716
1458299072364000.0,10000000,498211,589043248
1458299082364000.0,10000000,183128,67460113
1458299092364000.0,10000000,168952,64808893
1458299102364000.0,10000000,159542,94987156
1458299112364000.0,10000000,143174,71842315
1458299122364000.0,10000000,109048,50743305
1458299132364000.0,10000000,148531,89564470
1458299142364000.0,10000000,113927,52131256
1458299152364000.0,10000000,125707,69201733
1458299162364000.0,10000000,138895,101260393
1458299172364000.0,10000000,168224,83202357
1458299182364000.0,10000000,112596,66760738
1458299192364000.0,10000000,130323,97213257
1458299202364000.0,10000000,114450,50994334
1458299212364000.0,10000000,139871,92092515
1458299222364000.0,10000000,96679,44332178
1458299232364000.0,10000000,118918,55524926
1458299242364000.0,10000000,104928,31591688
1458299252364000.0,10000000,118960,75796167
1458299262364000.0,10000000,84774,39733918
1458299272364000.0,10000000,153987,88540090
1458299282364000.0,10000000,104108,58848797
1458299292364000.0,10000000,131024,83430410
1458299302364000.0,10000000,118502,79411209
1458299312364000.0,10000000,148808,66227297
1458299322364000.0,10000000,100301,42526478
1458299332364000.0,10000000,120365,90071684
1458299342364000.0,10000000,102100,48666952
1458299352364000.0,10000000,95165,42163715
1458299362364000.0,10000000,118202,30334900
1458299372364000.0,10000000,101690,37871045
1458299382364000.0,10000000,95661,33897785
1458299392364000.0,10000000,88443,41312670
1458299402364000.0,10000000,78242,30978870
1458299412364000.0,10000000,11143,3116944
