ts,td,pkt,byt
1489536076551000.0,1000000,12,1048
1489536077551000.0,1000000,1,243
1489536078551000.0,1000000,0,0
1489536079551000.0,1000000,0,0
1489536080551000.0,1000000,0,0
1489536081551000.0,1000000,6,564
1489536082551000.0,1000000,0,0
1489536083551000.0,1000000,0,0
1489536084551000.0,1000000,0,0
1489536085551000.0,1000000,0,0
1489536086551000.0,1000000,2,184
1489536087551000.0,1000000,3,282
1489536088551000.0,1000000,5,394
1489536089551000.0,1000000,3,170
1489536090551000.0,1000000,8,676
1489536091551000.0,1000000,2,112
1489536092551000.0,1000000,2,112
1489536093551000.0,1000000,1,58
1489536094551000.0,1000000,0,0
1489536095551000.0,1000000,0,0
1489536096551000.0,1000000,0,0
1489536097551000.0,1000000,2,517
1489536098551000.0,1000000,0,0
1489536099551000.0,1000000,0,0
1489536100551000.0,1000000,0,0
1489536101551000.0,1000000,0,0
1489536102551000.0,1000000,0,0
1489536103551000.0,1000000,0,0
1489536104551000.0,1000000,0,0
1489536105551000.0,1000000,3,282
1489536106551000.0,1000000,1,92
1489536107551000.0,1000000,0,0
1489536108551000.0,1000000,3,170
1489536109551000.0,1000000,1,58
1489536110551000.0,1000000,3,282
1489536111551000.0,1000000,0,0
1489536112551000.0,1000000,0,0
1489536113551000.0,1000000,0,0
1489536114551000.0,1000000,0,0
1489536115551000.0,1000000,0,0
1489536116551000.0,1000000,0,0
1489536117551000.0,1000000,0,0
1489536118551000.0,1000000,3,282
1489536119551000.0,1000000,0,0
1489536120551000.0,1000000,0,0
1489536121551000.0,1000000,0,0
1489536122551000.0,1000000,3,282
1489536123551000.0,1000000,0,0
1489536124551000.0,1000000,4,340
1489536125551000.0,1000000,0,0
1489536126551000.0,1000000,3,282
1489536127551000.0,1000000,0,0
1489536128551000.0,1000000,6,564
1489536129551000.0,1000000,1,262
1489536130551000.0,1000000,0,0
1489536131551000.0,1000000,0,0
1489536132551000.0,1000000,0,0
1489536133551000.0,1000000,0,0
1489536134551000.0,1000000,0,0
1489536135551000.0,1000000,0,0
1489536136551000.0,1000000,6,564
1489536137551000.0,1000000,0,0
1489536138551000.0,1000000,0,0
1489536139551000.0,1000000,2,112
1489536140551000.0,1000000,2,112
1489536141551000.0,1000000,4,340
1489536142551000.0,1000000,0,0
1489536143551000.0,1000000,0,0
1489536144551000.0,1000000,0,0
1489536145551000.0,1000000,0,0
1489536146551000.0,1000000,2,184
1489536147551000.0,1000000,3,282
1489536148551000.0,1000000,0,0
1489536149551000.0,1000000,4,374
1489536150551000.0,1000000,6,564
1489536151551000.0,1000000,0,0
1489536152551000.0,1000000,0,0
1489536153551000.0,1000000,0,0
1489536154551000.0,1000000,0,0
1489536155551000.0,1000000,0,0
1489536156551000.0,1000000,1,58
1489536157551000.0,1000000,0,0
1489536158551000.0,1000000,0,0
1489536159551000.0,1000000,1,92
1489536160551000.0,1000000,0,0
1489536161551000.0,1000000,1,243
1489536162551000.0,1000000,0,0
1489536163551000.0,1000000,0,0
1489536164551000.0,1000000,0,0
1489536165551000.0,1000000,3,282
1489536166551000.0,1000000,0,0
1489536167551000.0,1000000,0,0
1489536168551000.0,1000000,0,0
1489536169551000.0,1000000,0,0
1489536170551000.0,1000000,0,0
1489536171551000.0,1000000,5,394
1489536172551000.0,1000000,2,112
1489536173551000.0,1000000,2,112
1489536174551000.0,1000000,1,58
1489536175551000.0,1000000,0,0
1489536176551000.0,1000000,0,0
1489536177551000.0,1000000,0,0
1489536178551000.0,1000000,3,282
1489536179551000.0,1000000,0,0
1489536180551000.0,1000000,0,0
1489536181551000.0,1000000,0,0
1489536182551000.0,1000000,3,282
1489536183551000.0,1000000,0,0
1489536184551000.0,1000000,3,282
1489536185551000.0,1000000,0,0
1489536186551000.0,1000000,0,0
1489536187551000.0,1000000,3,282
1489536188551000.0,1000000,6,564
1489536189551000.0,1000000,2,112
1489536190551000.0,1000000,1,58
1489536191551000.0,1000000,0,0
1489536192551000.0,1000000,0,0
1489536193551000.0,1000000,0,0
1489536194551000.0,1000000,0,0
1489536195551000.0,1000000,0,0
1489536196551000.0,1000000,7,656
1489536197551000.0,1000000,0,0
1489536198551000.0,1000000,0,0
1489536199551000.0,1000000,0,0
1489536200551000.0,1000000,0,0
1489536201551000.0,1000000,3,282
1489536202551000.0,1000000,0,0
1489536203551000.0,1000000,0,0
1489536204551000.0,1000000,0,0
1489536205551000.0,1000000,1,58
1489536206551000.0,1000000,0,0
1489536207551000.0,1000000,0,0
1489536208551000.0,1000000,3,282
1489536209551000.0,1000000,3,282
1489536210551000.0,1000000,6,564
1489536211551000.0,1000000,0,0
1489536212551000.0,1000000,0,0
1489536213551000.0,1000000,0,0
1489536214551000.0,1000000,0,0
1489536215551000.0,1000000,0,0
1489536216551000.0,1000000,2,184
1489536217551000.0,1000000,0,0
1489536218551000.0,1000000,0,0
1489536219551000.0,1000000,0,0
1489536220551000.0,1000000,1,58
1489536221551000.0,1000000,0,0
1489536222551000.0,1000000,0,0
1489536223551000.0,1000000,0,0
1489536224551000.0,1000000,0,0
1489536225551000.0,1000000,0,0
1489536226551000.0,1000000,3,282
1489536227551000.0,1000000,0,0
1489536228551000.0,1000000,0,0
1489536229551000.0,1000000,0,0
1489536230551000.0,1000000,0,0
1489536231551000.0,1000000,3,282
1489536232551000.0,1000000,0,0
1489536233551000.0,1000000,0,0
1489536234551000.0,1000000,0,0
1489536235551000.0,1000000,2,112
1489536236551000.0,1000000,2,112
1489536237551000.0,1000000,2,112
1489536238551000.0,1000000,4,340
1489536239551000.0,1000000,0,0
1489536240551000.0,1000000,0,0
1489536241551000.0,1000000,0,0
1489536242551000.0,1000000,3,282
1489536243551000.0,1000000,0,0
1489536244551000.0,1000000,3,282
1489536245551000.0,1000000,0,0
1489536246551000.0,1000000,1,92
1489536247551000.0,1000000,3,282
1489536248551000.0,1000000,6,564
1489536249551000.0,1000000,0,0
1489536250551000.0,1000000,0,0
1489536251551000.0,1000000,0,0
1489536252551000.0,1000000,0,0
1489536253551000.0,1000000,1,58
1489536254551000.0,1000000,0,0
1489536255551000.0,1000000,0,0
1489536256551000.0,1000000,6,564
1489536257551000.0,1000000,0,0
1489536258551000.0,1000000,0,0
1489536259551000.0,1000000,0,0
1489536260551000.0,1000000,0,0
1489536261551000.0,1000000,3,282
1489536262551000.0,1000000,0,0
1489536263551000.0,1000000,0,0
1489536264551000.0,1000000,0,0
1489536265551000.0,1000000,0,0
1489536266551000.0,1000000,0,0
1489536267551000.0,1000000,0,0
1489536268551000.0,1000000,5,394
1489536269551000.0,1000000,5,394
1489536270551000.0,1000000,5,394
